example ID,text,respondent,sex,year of birth,language,language group,education,comments,non-standard government,selecting predicate,type of speaker,context type,toponym/year,initial phoneme,omitted,preposition,preposition_eng,PP
1345,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у нас
1360,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,other,,consonant,,на,na 'on(to)',на рыбалку
940,2016-Kina-5,kina.кина.нд40,m,1950,Rutul,Lezgic,higher education,,,,,temporal,temp_point,consonant,да,в,v 'in(to)',девяностые годы
1348,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,,,other,,consonant,,у,u 'at',у него
1349,2010-Archib-4,archib.арчиб.syn-138,f,1963,Archi,Lezgic,secondary specialized education,,,продавали,,other,,consonant,,за,za 'behind; for',"за какие-то ковры, за какие-то копейки"
1437,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,,,spatial,,consonant,,в,v 'in(to)',в каком-то селе
708,2009-Itsari-1,itsari.add.syn-1,f,1947,Itsari Dargwa,Dargwa,secondary specialized education,,,,,temporal,,consonant,,в,v 'in(to)',в старших классах
1352,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,temporal,temp_point,consonant,,в,v 'in(to)',в шестидесятых годах
1353,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,consonant,,из,"iz 'from, of'",из Шалиба
709,2009-Itsari-1,itsari.add.syn-1,f,1947,Itsari Dargwa,Dargwa,secondary specialized education,,,,,temporal,,consonant,,в,v 'in(to)',в старших классах
1355,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,любовь прививали,,other,,consonant,,к,k 'to',к знаниям
1356,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,относились,,other,,consonant,,к,k 'to',к ней
1357,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,other,,consonant,,у,u 'at',у нас
1358,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,other,,consonant,,у,u 'at',у нас
1359,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,other,,consonant,,с,s ‘with/from/off’,с ним
1369,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,направили,,other,,consonant,,на,na 'on(to)',на работу
712,2009-Itsari-1,itsari.add.syn-1,f,1947,Itsari Dargwa,Dargwa,secondary specialized education,,,,,other,,consonant,,в,v 'in(to)',в случае необходимости
1440,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,провождают,,spatial,institution,vowel,да,в,v 'in(to)',в армию
1442,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,ходил,,spatial,institution,consonant,,в,v 'in(to)',в школу
1364,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,temporal,temp_point,consonant,,в,v 'in(to)',в пятидесятых годах
1445,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,,,spatial,,consonant,,в,v 'in(to)',в селении
1447,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,,,spatial,institution,vowel,да,в,v 'in(to)',в институте
1450,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,работал,,spatial,toponym,consonant,да,в,v 'in(to)',в Маджалисе
731,2009-Itsari-1,itsari.add.syn-1,f,1947,Itsari Dargwa,Dargwa,secondary specialized education,,,,,other,,consonant,,в,v 'in(to)',в народе
1408,2012-Jangikent-5,yangikent.янгикент.38.,m,1937,Kumyk,Turkic,higher education,,,,,other,,vowel,,на,na 'on(to)',на арабском шрифте
1452,2012-Jangikent-5,yangikent.янгикент.41.,f,1940,Kumyk,Turkic,higher education,,,,,spatial,,consonant,да,в,v 'in(to)',в кутане
1371,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,consonant,,из,"iz 'from, of'",Из России
1454,2012-Jangikent-5,yangikent.янгикент.41.,f,1940,Kumyk,Turkic,higher education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',в Буйнакске
185,2013-Megeb-4,shangoda.мегеб.syn-139,m,1948,Mehweb Dargwa,Dargwa,higher education,,,,,other,,vowel,,из-за,iz-za 'due to',из-за этого
1456,2012-Jangikent-5,yangikent.янгикент.41.,f,1940,Kumyk,Turkic,higher education,,,,,spatial,institution,consonant,да,в,v 'in(to)',в советской школе
1457,2012-Jangikent-5,yangikent.янгикент.41.,f,1940,Kumyk,Turkic,higher education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',в Среднюю Азию
1458,2012-Jangikent-5,yangikent.янгикент.41.,f,1940,Kumyk,Turkic,higher education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',в Баку
1377,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,temporal,temp_point,consonant,,в,v 'in(to)',В шестидесятых... в шестидесятых годах
1378,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,consonant,,из,"iz 'from, of'",из... Гунибского района
1379,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,consonant,,из,"iz 'from, of'",из Бухтаба
1380,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,other,,consonant,,из,"iz 'from, of'",из русских
1459,2012-Jangikent-5,yangikent.янгикент.41.,f,1940,Kumyk,Turkic,higher education,,,,,spatial,,consonant,да,в,v 'in(to)',в таких местах
1468,2012-Jangikent-5,yangikent.янгикент.41.,f,1940,Kumyk,Turkic,higher education,в расшифровке предлог опущен,,,,spatial,toponym,consonant,,в,v 'in(to)',в Москве
1383,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,consonant,,из,"iz 'from, of'",из Гунибского района
1384,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,consonant,,из,"iz 'from, of'",из Цунтинского
1479,2012-Jangikent-5,yangikent.янгикент.41.,f,1940,Kumyk,Turkic,higher education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',в Сибирь
1483,2012-Jangikent-5,yangikent.янгикент.41.,f,1940,Kumyk,Turkic,higher education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',в Баку
1387,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,consonant,,из,"iz 'from, of'",Из Рульдаба
1484,2012-Jangikent-5,yangikent.янгикент.41.,f,1940,Kumyk,Turkic,higher education,,,,,spatial,institution,consonant,да,в,v 'in(to)',в школе
1389,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,other,,consonant,,без,bez 'without',без платков
1390,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,consonant,,из,"iz 'from, of'",из Воронежа
1489,2012-Jangikent-5,yangikent.янгикент.41.,f,1940,Kumyk,Turkic,higher education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',в Баку
1392,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,spatial,toponym,consonant,,из,"iz 'from, of'",из Воронежа
1393,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,вышла замуж,,other,,vowel,,за,za 'behind; for',за аварца
1491,2012-Jangikent-5,yangikent.янгикент.41.,f,1940,Kumyk,Turkic,higher education,,,,,spatial/temporal,institution,vowel,,в,v 'in(to)',в армии
1395,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,other,,consonant,,у,u 'at',у нас
1396,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,other,,consonant,,по,po 'along/about/up to',по религиозным таким мотивам
1397,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,,,other,,consonant,,у,u 'at',у них
1398,2010-Archib-2,archib.арчиб.syn-107,m,1940,Archi,Lezgic,higher education,,,"не умели, не привыкли",,other,,vowel,,к,k 'to',к этому
